Uniprot,score_alpha,score_topm,res_length,SS,pLDDT,proQ3D,qmean,EC
Q99K82,0.2353,0.2541,536,49.5,88.93731279620904,0.2678,0.2092,1.5.3.16
Q99LB7,0.1691,0.252,850,2.2,96.76342556391052,0.212,0.1868,1.5.8.3
Q9BU89,0.184,0.2106,302,35.9,96.41938934603716,0.2357,0.1784,1.14.99.29
Q9BYV7,0.3055,0.2903,579,60.1,88.86995257598612,0.3248,0.2494,1.13.11.71
Q9C0B1,0.2331,0.2592,505,44.6,91.33078574914676,0.2571,0.2245,1.14.11.53
Q9C1W3,0.2176,0.2647,457,56.8,94.50284826222082,0.2838,0.1838,1.14.14.17
Q9C971,0.2618,0.3808,355,31.8,89.76314130434832,0.2832,0.2387,1.14.11.15
Q9CAG3,0.2497,0.2086,839,80.3,89.34668393015754,0.2736,0.2287,1.13.11.12
Q9CQ62,0.2844,0.3625,290,35.5,95.48547488584444,0.3452,0.2127,1.3.1.34
Q9D711,0.2197,0.2383,290,35.7,97.8783716814162,0.2546,0.1888,1.13.11.24
Q9DBF1,0.1956,0.2292,503,62.8,98.2848249027229,0.2392,0.2027,1.2.1.3
Q9DCM0,0.1597,0.1979,231,24.3,97.27557735425968,0.1882,0.1889,1.13.11.18
Q9ERD9,0.1848,0.2013,407,45.9,92.20589401921306,0.2183,0.202,1.13.11.52
Q9FE01,0.2556,0.2515,251,26.0,97.69143828451848,0.3025,0.1948,1.11.1.11
Q9FJ95,0.1571,0.2178,346,40.2,97.30774971297346,0.2208,0.1804,1.1.1.9
Q9FJI5,0.2005,0.2282,484,57.8,93.5118668706964,0.2299,0.2041,1.1.1.49
Q9FNA2,0.2277,0.2305,452,45.9,91.47867115222915,0.281,0.1954,1.5.3.16
Q9FNX8,0.2767,0.2216,926,81.3,85.75231497767517,0.2873,0.2463,1.13.11.12
Q9H6Z9,0.2254,0.3104,239,23.0,91.56091762252392,0.2659,0.1915,1.14.11.29
Q9JI75,0.2746,0.2517,231,27.3,97.30087331536448,0.3268,0.2101,1.10.5.1
Q9JMA7,0.263,0.2172,504,50.2,91.32763854830804,0.3271,0.1942,1.14.14.1
Q9LF05,0.2945,0.2525,334,38.9,96.0164425563352,0.3419,0.2118,1.14.19.2
Q9LK23,0.2078,0.2556,485,57.7,93.64967668024424,0.2386,0.2055,1.1.1.49
Q9LNR3,0.2743,0.209,919,77.7,86.44457883959022,0.2854,0.2458,1.13.11.12
Q9LPL5,0.3507,0.2658,472,44.6,86.83310875331564,0.3437,0.2899,1.2.4.4
Q9LQ04,0.2034,0.2454,287,33.0,94.38207231040576,0.2383,0.2078,1.1.1.133
Q9LSV0,0.1817,0.2218,289,40.1,97.28900046707066,0.2411,0.188,1.1.1.79
Q9LY15,0.256,0.2437,168,21.1,97.34730684326696,0.2772,0.2207,1.8.4.11
Q9LYK8,0.2986,0.2902,195,25.6,96.67925161290378,0.3577,0.2086,1.15.1.1
Q9LYT1,0.2204,0.3457,456,47.8,93.89819202695143,0.2799,0.1883,1.5.3.17
Q9LZ66,0.2455,0.2191,567,63.3,97.31946728558783,0.2872,0.2109,1.8.7.1
Q9M880,0.3128,0.2759,336,39.2,96.23985771616223,0.3539,0.2149,1.14.19.2
Q9M881,0.3319,0.2797,336,40.8,96.11106959707004,0.4041,0.2208,1.14.19.2
Q9NUI1,0.2412,0.2538,292,36.5,95.57969500924293,0.29,0.2123,1.3.1.34
Q9NWM0,0.2416,0.293,536,50.1,88.9518403600196,0.2741,0.2079,1.5.3.16
Q9NWT6,0.2974,0.2613,300,31.8,96.39113298513465,0.3531,0.2233,1.14.11.30
Q9NYQ3,0.189,0.2352,351,41.5,92.71078812316688,0.2224,0.211,1.1.3.15
Q9QXD1,0.2673,0.2839,681,82.7,94.3406520132992,0.302,0.2177,1.17.99.3
Q9S850,0.2092,0.261,393,45.4,96.52092962356804,0.2386,0.2235,1.8.3.1
Q9S9N9,0.1517,0.1693,318,34.9,96.13200814663902,0.1993,0.1719,1.2.1.44
Q9SAH9,0.1535,0.1669,313,37.2,96.48394313967864,0.1931,0.1771,1.2.1.44
Q9SAV3,0.2434,0.2596,319,37.4,98.33723609991864,0.3047,0.1955,1.2.4.4
Q9SKT7,0.2885,0.3201,582,60.3,89.08452473958367,0.3577,0.2341,1.6.5.9
Q9SQT8,0.1526,0.1809,509,63.3,97.05286264441598,0.1857,0.1689,1.1.1.25
Q9T0N8,0.2364,0.2289,499,54.6,97.4230340639032,0.2987,0.196,1.5.99.12
Q9T0P4,0.1824,0.2813,1524,56.1,94.58951008891998,0.3233,0.1924,1.4.7.1
Q9UL12,0.1724,0.2404,848,1.0,96.81241764883652,0.2184,0.1898,1.5.8.3
Q9UNU6,0.239,0.2438,501,47.8,91.87952705997034,0.2678,0.2032,1.14.18.8
Q9URV9,0.2909,0.3458,111,11.1,84.12763188745643,0.3598,0.2049,1.8.98.2
Q9URY5,0.2444,0.3053,427,49.7,90.35429198361574,0.2967,0.214,1.14.12.17
Q9UTM9,0.1966,0.2727,433,47.9,93.27975659229187,0.2355,0.2033,1.5.3.18
Q9VA02,0.2165,0.2342,892,95.6,95.96123220076171,0.2506,0.2087,1.2.4.2
Q9VSL3,0.2243,0.3107,243,28.5,96.27708229426476,0.2379,0.2165,1.5.4.1
Q9VTH0,0.2813,0.2111,693,72.9,95.84367397895512,0.3611,0.2136,1.14.11.4
Q9WV68,0.245,0.2751,292,36.3,93.10865909090876,0.3036,0.2082,1.3.1.34
Q9WVK8,0.2588,0.2037,488,51.6,94.56333247950828,0.3115,0.1906,1.14.14.25
Q9Y6A2,0.2479,0.2049,488,52.6,95.46530314658509,0.3004,0.1886,1.14.14.25
Q9ZNZ7,0.1927,0.2832,1519,55.3,94.94409012727988,0.3244,0.2006,1.4.7.1
Q9ZPY1,0.3146,0.3617,198,26.3,93.5663419233187,0.3343,0.2294,1.4.3.5
Q9ZRA2,0.3056,0.3447,424,44.6,95.87874287428714,0.3869,0.2273,1.13.11.5
Q9ZVF6,0.2287,0.2891,283,29.1,93.46374336283183,0.2425,0.2194,1.14.11.18
A0A4Z3,0.2672,0.2407,339,31.7,90.85622904031344,0.3079,0.2312,2.4.1.87
A0PJN4,0.3116,0.3291,151,18.7,93.62124488124498,0.3808,0.199,2.3.2.23
A1A6H3,0.202,0.2343,302,42.1,97.02706093189984,0.2777,0.1855,2.7.1.15
A1L167,0.2896,0.3362,161,18.3,91.26790085205243,0.3467,0.1966,2.3.2.23
A2AUQ7,0.3816,0.2963,319,30.6,90.2435020468925,0.4265,0.2331,2.4.1.87
A2RRU1,0.2988,0.1993,727,69.8,85.36133014190489,0.3116,0.2609,2.4.1.11
A3KPA3,0.2347,0.2538,224,30.1,92.14048565121364,0.3051,0.208,2.3.1.48
A7MCT6,0.2108,0.2549,358,41.2,92.2131674053866,0.2455,0.2109,2.7.1.82
B0F481,0.2384,0.2301,833,87.9,91.02160562509737,0.2933,0.2075,2.6.1.62
B0G172,0.199,0.2622,318,37.6,95.54256858846912,0.2246,0.2005,2.5.1.60
B5BP46,0.3358,0.3582,220,24.9,95.96481298129834,0.4577,0.2035,2.5.1.18
C7IZ16,0.2848,0.3495,142,22.2,97.05902985074592,0.3349,0.2473,2.3.1.4
D3KU66,0.2573,0.2601,355,37.1,94.15941877794286,0.3337,0.2127,2.1.1.4
D3ZRW8,0.2217,0.2419,358,41.1,91.6060230743128,0.2503,0.2161,2.7.1.82
D4A5U3,0.1941,0.2443,693,83.7,95.05921280117674,0.2243,0.2156,2.3.2.13
E9Q649,0.3192,0.3054,444,41.7,92.72912923670444,0.3573,0.2385,2.4.1.102
G3V6U9,0.29,0.2422,575,65.7,88.32219008264487,0.2959,0.2632,2.1.1.85
G3V9Q9,0.3535,0.2906,321,31.0,90.0375883652437,0.3716,0.2288,2.4.1.87
G5EDP2,0.1937,0.2459,412,38.8,96.28697203471567,0.2604,0.1922,2.3.1.176
I1M2U5,0.2954,0.261,355,45.9,95.38398573975024,0.3687,0.2038,2.1.1.7
I6Y9Q3,0.1856,0.2131,344,47.2,97.22038951310893,0.2099,0.2006,2.3.3.5
I6YG32,0.2162,0.3452,158,20.0,93.91392508143328,0.2514,0.214,2.3.1.255
O00116,0.2427,0.2501,627,68.9,91.34392864382724,0.2783,0.2192,2.5.1.26
O00329,0.2692,0.2921,1034,16.3,88.32956636636686,0.3172,0.21,2.7.1.153
O00746,0.2811,0.3545,149,18.6,94.29175213675192,0.3007,0.2371,2.7.4.6
O00762,0.2965,0.2509,150,21.3,95.8687175188598,0.3601,0.1905,2.3.2.23
O01824,0.2384,0.3212,321,31.2,94.13318037974656,0.3047,0.1903,2.7.1.35
O05572,0.2281,0.2286,325,40.7,87.66984438984466,0.2585,0.1935,2.5.1.1
O06428,0.1864,0.2719,335,41.1,92.05743990384684,0.2281,0.1667,2.5.1.10
O07431,0.1866,0.2277,220,22.7,96.33319188191902,0.2402,0.1817,2.1.1.6
O07778,0.2431,0.26,138,18.8,90.87326429980276,0.31,0.1911,2.7.13.3
O09171,0.3193,0.3438,395,47.1,94.4068634446974,0.4116,0.22,2.1.1.5
O13993,0.3112,0.3907,1154,1.5,78.39624285560191,0.3795,0.2324,2.7.7.6
O14047,0.2572,0.3555,282,33.3,89.49919786096294,0.2926,0.2182,2.7.11.1
O14171,0.1998,0.2061,264,28.5,92.8346110852353,0.2355,0.1882,2.5.1.87
O14190,0.266,0.2994,162,17.8,86.1515064102567,0.3342,0.192,2.4.1.141
O14370,0.2239,0.2996,386,45.5,94.07811494252915,0.2604,0.2101,2.6.1.42
O14744,0.249,0.1921,623,75.7,94.25780487804924,0.3019,0.2063,2.1.1.320
O14792,0.2682,0.2355,284,24.5,94.11291438211757,0.3007,0.2317,2.8.2.23
O14920,0.2755,0.2274,745,62.9,86.7450693863904,0.3012,0.2307,2.7.11.10
O14933,0.241,0.2331,153,20.8,95.9814879999999,0.3045,0.1874,2.3.2.23
O15111,0.2547,0.2377,734,67.1,85.3308074747126,0.2882,0.223,2.7.11.10
O16116,0.2307,0.2324,207,24.1,96.89483601669596,0.2806,0.1574,2.5.1.18
O23324,0.2366,0.2247,402,44.1,94.85271674491412,0.2893,0.193,2.7.7.4
O23653,0.197,0.1997,457,57.2,93.34066307736006,0.247,0.1912,2.7.2.4
O33289,0.2714,0.2902,174,20.2,92.24872371283506,0.3002,0.234,2.3.1.1
O33336,0.279,0.2758,227,27.5,96.24107409534687,0.3397,0.2094,2.7.8.7
O35310,0.2661,0.2449,283,29.7,93.44019197952214,0.2889,0.2412,2.8.2.23
O35490,0.3107,0.3171,395,47.7,94.41864033667903,0.3848,0.2107,2.1.1.5
O35904,0.265,0.295,1043,16.1,88.17234098204712,0.3123,0.2195,2.7.1.153
O35969,0.27,0.2186,236,24.2,96.8073423180594,0.3221,0.2236,2.1.1.2
O43010,0.2628,0.3618,447,41.4,89.88777258994823,0.3073,0.2115,2.3.1.97
O43708,0.1734,0.1928,216,26.0,97.31945229682006,0.1766,0.2075,2.5.1.18
O45218,0.2097,0.2605,597,64.8,93.3886605426196,0.2799,0.1867,2.5.1.26
O48520,0.2601,0.3597,430,54.1,92.15005011792468,0.2906,0.2145,2.7.7.7
O49499,0.2164,0.2766,229,28.6,97.43094007696534,0.2695,0.1888,2.1.1.104
O50410,0.197,0.2393,350,40.6,92.62680533751949,0.2273,0.182,2.5.1.29
O53507,0.1887,0.2007,352,43.9,95.81198496240653,0.2157,0.1702,2.5.1.1
O53585,0.1959,0.1701,626,75.3,94.72566391295584,0.2594,0.1906,2.4.1.288
O53699,0.2353,0.3137,267,26.7,94.13439429928732,0.282,0.1947,2.8.2.37
O54889,0.2569,0.3175,1705,43.0,80.3937526778467,0.5513,0.2598,2.7.7.6
O59827,0.2916,0.2932,230,28.5,97.32019905709808,0.325,0.2251,2.5.1.18
O61790,0.1685,0.2122,200,26.0,94.00043147208092,0.2128,0.1717,2.4.2.9
O64629,0.258,0.2515,267,34.3,90.95356781609225,0.3024,0.2116,2.7.11.1
O64811,0.2521,0.3066,437,41.7,94.9329812072889,0.2928,0.2063,2.3.1.103
O65857,0.235,0.2372,219,28.0,96.77535836177503,0.2662,0.2089,2.5.1.18
O73792,0.3444,0.3832,184,20.7,91.86969758064468,0.3461,0.2483,2.7.10.1
O74201,0.2484,0.2083,166,21.5,92.24421956684088,0.2859,0.2206,2.3.2.23
O74311,0.2345,0.2581,150,18.5,94.694715772618,0.2842,0.1927,2.3.1.256
O74426,0.2593,0.3898,309,34.2,89.13452400000004,0.291,0.2297,2.7.11.1
O74830,0.3434,0.3841,220,24.0,96.04024958402692,0.4872,0.2101,2.5.1.18
O74841,0.2348,0.3049,265,26.6,90.94824918943948,0.2502,0.2211,2.7.7.2
O74860,0.2845,0.3866,329,33.1,93.71420971472595,0.3483,0.2058,2.7.1.35
O75716,0.216,0.2355,293,30.1,94.8065306122448,0.2565,0.1904,2.7.10.2
O80526,0.2334,0.3962,424,45.9,95.19833788292424,0.297,0.1965,2.3.3.8
O80562,0.2766,0.264,209,24.4,98.1537935247403,0.3429,0.2063,2.1.1.9
O88351,0.2592,0.2129,746,66.1,86.56052112911321,0.2821,0.2187,2.7.11.10
O88426,0.2701,0.3038,164,17.5,96.49558845299786,0.2876,0.2418,2.7.4.6
O88697,0.2162,0.2272,293,29.8,94.10073327615822,0.2571,0.1964,2.7.10.2
O89112,0.2211,0.1991,399,48.7,98.08595431789767,0.2566,0.1895,2.5.1.18
O94530,0.2197,0.3375,408,42.9,90.72550380228112,0.276,0.1969,2.7.7.87
O94617,0.2605,0.3675,475,44.2,94.32712493326147,0.32,0.2139,2.7.7.23
O95050,0.186,0.2005,263,28.4,97.1982733103102,0.2236,0.1928,2.1.1.49
O95602,0.2613,0.3359,1709,41.8,80.84687679505107,0.5363,0.2698,2.7.7.6
P00572,0.1821,0.1912,216,28.8,95.12819124423984,0.2029,0.1802,2.7.4.9
P00893,0.1971,0.24,574,68.3,96.9506264133878,0.2568,0.1904,2.2.1.6
P00903,0.1767,0.3862,187,23.6,97.42922761449084,0.2216,0.1794,2.6.1.85
P00973,0.2533,0.2318,333,40.5,92.28882113821176,0.3011,0.1906,2.7.7.84
P02919,0.2198,0.219,783,89.1,91.0906584093869,0.26,0.218,2.4.1.129
P04161,0.2102,0.2724,214,25.1,97.30877192982464,0.2891,0.1567,2.1.2.2
P04180,0.2934,0.298,419,45.5,89.04418279249829,0.3404,0.2378,2.3.1.43
P04385,0.1914,0.1986,528,56.0,92.8668917259994,0.253,0.1917,2.7.1.6
P06104,0.2403,0.2193,157,22.8,95.7771518987343,0.2897,0.1988,2.3.2.23
P06242,0.236,0.3906,306,32.9,91.14619201290834,0.2612,0.2259,2.7.11.23
P06738,0.2166,0.2169,871,94.7,95.81800198525276,0.2555,0.2017,2.4.1.1
P06746,0.2078,0.2066,323,39.3,95.97044770358929,0.2412,0.1851,2.7.7.7
P06999,0.1446,0.1753,309,41.5,95.82108915239336,0.2052,0.1636,2.7.1.11
P07464,0.2243,0.2394,184,25.9,97.90781729428134,0.2505,0.1812,2.3.1.18
P07884,0.2399,0.226,415,46.2,90.9051772225444,0.2896,0.2015,2.5.1.75
P08103,0.169,0.2293,427,57.5,91.8272036120006,0.1755,0.1991,2.7.10.2
P08524,0.2236,0.2201,352,40.2,95.73873071528696,0.279,0.1723,2.5.1.1
P08536,0.1593,0.2203,511,64.3,96.33678912564258,0.1791,0.1819,2.7.7.4
P08631,0.1665,0.2413,429,56.7,92.33008675535004,0.1735,0.1931,2.7.10.2
P08660,0.1713,0.1894,449,57.7,93.29487976539532,0.2066,0.185,2.7.2.4
P08957,0.2573,0.264,529,53.5,89.78018682634726,0.2986,0.1976,2.1.1.72
P08997,0.181,0.1787,523,61.8,97.26164468952308,0.2191,0.1844,2.3.3.9
P09053,0.1765,0.2005,417,45.2,95.9886788432271,0.2393,0.1648,2.6.1.66
P09139,0.1557,0.181,360,47.3,98.10489716312055,0.2023,0.1769,2.6.1.44
P0A9H7,0.1966,0.2332,371,18.9,93.92126410086271,0.2527,0.1856,2.1.1.79
P0AAI9,0.1137,0.2652,309,35.9,97.52217869718366,0.1642,0.1667,2.3.1.39
P0ABN1,0.3064,0.1556,122,17.3,92.80328678839976,0.3493,0.2199,2.7.1.107
P0ADF8,0.3173,0.2438,96,12.5,82.0162467866324,0.3497,0.254,2.2.1.6
P0AED9,0.2941,0.2624,472,46.4,91.14848211920516,0.3571,0.2258,2.1.1.37
P0AEE8,0.2525,0.2249,278,34.8,91.0103568281942,0.2832,0.2308,2.1.1.72
P0AFU8,0.1992,0.2254,213,26.5,95.12077297626293,0.2356,0.2018,2.5.1.9
P10378,0.1634,0.1762,536,64.2,94.27743337334933,0.1924,0.1848,2.7.7.58
P12281,0.1572,0.2006,411,54.2,95.0493126815097,0.1885,0.1931,2.10.1.1
P12282,0.2433,0.2642,249,32.0,95.40866809881804,0.2792,0.2201,2.7.7.80
P12758,0.2024,0.2078,253,29.3,96.68154492905954,0.2372,0.1955,2.4.2.3
P13807,0.2902,0.2214,726,68.6,85.56655450643787,0.3027,0.2529,2.4.1.11
P14324,0.2078,0.2235,345,41.1,95.9417333809868,0.2433,0.1859,2.5.1.1
P16118,0.1877,0.1929,460,53.1,92.54566799468918,0.2028,0.2053,2.7.1.105
P16550,0.3032,0.2965,321,36.8,92.93585413416623,0.3954,0.2058,2.7.7.5
P16679,0.1638,0.3218,226,28.6,95.11272413793196,0.214,0.1657,2.7.8.37
P16685,0.2693,0.259,136,20.0,96.25073543457498,0.3152,0.1597,2.7.8.37
P16686,0.2151,0.2681,194,24.0,96.6824542372886,0.272,0.1878,2.7.8.37
P16687,0.3424,0.3966,354,32.0,97.51070226773984,0.4664,0.2657,2.7.8.37
P16862,0.2367,0.1928,944,10.0,90.02883149171235,0.2929,0.2059,2.7.1.11
P17649,0.2534,0.3178,471,50.8,97.68953488372128,0.3082,0.2001,2.6.1.19
P17709,0.2083,0.264,500,53.0,93.54573302469136,0.2525,0.1977,2.7.1.2
P17735,0.1883,0.2114,400,53.3,96.29313303341893,0.2442,0.198,2.6.1.5
P20605,0.2515,0.2519,200,21.6,94.3062940086472,0.2811,0.224,2.7.7.108
P21189,0.2119,0.157,783,95.9,95.31336896714336,0.2676,0.1861,2.7.7.7
P22007,0.2679,0.2817,431,45.8,91.4242553191489,0.3049,0.2218,2.5.1.58
P22108,0.2813,0.3109,325,35.5,92.0835457705678,0.3294,0.2197,2.7.7.5
P22939,0.2245,0.2238,299,40.5,93.98012854609924,0.2761,0.1804,2.5.1.10
P23830,0.2062,0.2083,451,47.3,95.34036490474762,0.2279,0.2077,2.7.8.8
P23857,0.2322,0.3364,82,10.6,98.00412225705324,0.3078,0.2003,2.8.1.1
P23874,0.2156,0.2772,440,50.8,94.80940685286473,0.2617,0.2001,2.7.11.1
P24288,0.1988,0.2346,358,47.4,97.30910746162073,0.2431,0.1959,2.6.1.42
P24473,0.2703,0.2528,226,28.5,94.63071508379905,0.3326,0.1959,2.5.1.18
P25325,0.1816,0.1853,297,36.1,95.79230802047742,0.202,0.1955,2.8.1.2
P25397,0.2353,0.2589,197,19.4,97.26934974747564,0.2821,0.1923,2.1.1.265
P26281,0.1977,0.2102,159,20.8,95.40874509803932,0.2162,0.2079,2.7.6.3
P26690,0.2196,0.2126,315,39.7,96.71556577369095,0.2641,0.2063,2.3.1.170
P27158,0.2615,0.3762,100,11.8,88.97744572158379,0.2984,0.2338,2.7.1.21
P27278,0.2118,0.2572,410,35.7,91.638003591739,0.263,0.1797,2.7.1.22
P27707,0.2185,0.2221,239,26.7,92.25379569354013,0.2564,0.1926,2.7.1.74
P27832,0.1764,0.1989,224,31.3,97.23167251462034,0.2246,0.1726,2.3.1.210
P27926,0.1559,0.1333,896,3.8,91.05803904300598,0.2101,0.1756,2.7.1.1
P28905,0.2053,0.2009,147,18.3,96.06672340425516,0.2536,0.1799,2.7.7.7
P29340,0.2467,0.2853,170,22.3,95.49641703377422,0.2926,0.1923,2.3.2.23
P29468,0.224,0.2113,515,65.5,95.2224063783525,0.2768,0.1967,2.7.7.19
P30235,0.1695,0.2194,313,42.5,95.37414861995757,0.2305,0.1818,2.7.1.83
P31459,0.2467,0.2384,292,37.0,95.96054900181528,0.3002,0.2023,2.7.1.58
P32643,0.2235,0.2017,299,35.7,96.1532179226068,0.2691,0.1948,2.1.1.145
P32718,0.2679,0.2586,309,37.1,95.0500042176293,0.3205,0.2052,2.7.1.55
P32775,0.215,0.2269,704,75.1,96.09497996864684,0.2316,0.2196,2.4.1.18
P33570,0.16,0.1585,667,76.2,98.19383465942228,0.2036,0.1786,2.2.1.1
P34114,0.2532,0.1975,957,86.8,88.17258922777312,0.2761,0.2306,2.4.1.1
P34516,0.2759,0.3283,346,34.1,89.67738816738822,0.2722,0.2519,2.7.11.1
P34548,0.3202,0.2528,289,27.1,92.39762484263584,0.3638,0.2352,2.4.1.133
P35196,0.2455,0.3036,270,28.5,88.46118487782404,0.2703,0.2007,2.5.1.87
P35202,0.2438,0.1871,319,29.0,95.9211180124222,0.2739,0.2055,2.7.6.2
P36615,0.2365,0.3747,306,31.1,92.6440603342842,0.2696,0.2116,2.7.11.22
P36999,0.1929,0.2234,269,17.0,93.12993451824173,0.2383,0.184,2.1.1.187
P37634,0.1698,0.1612,280,33.7,94.82491360212668,0.2128,0.1868,2.1.1.266
P37647,0.169,0.1914,309,37.4,97.09765814830318,0.2167,0.1893,2.7.1.45
P37766,0.2017,0.2137,531,59.8,96.71991849839472,0.2522,0.1987,2.8.3.8
P38615,0.3199,0.3674,356,39.9,93.5908042436683,0.3799,0.2285,2.7.11.1
P38913,0.32,0.3492,306,31.6,94.09539992041384,0.3448,0.2401,2.7.7.2
P39979,0.3051,0.3091,144,22.2,93.74925021061492,0.3431,0.2371,2.3.1.36
P40235,0.2973,0.2797,313,36.3,95.70643904321012,0.3242,0.2126,2.7.11.1
P40386,0.1895,0.3487,518,57.5,93.3835301668804,0.2334,0.1876,2.5.1.3
P40582,0.2352,0.3423,234,23.3,95.52132453825838,0.2629,0.1987,2.5.1.18
P40999,0.2632,0.2408,330,34.4,90.93716747845642,0.2917,0.2271,2.1.1.204
P41242,0.235,0.3165,452,48.4,88.28842808413862,0.2528,0.2267,2.7.10.2
P41243,0.2134,0.3133,447,49.0,90.50985197836634,0.2446,0.2049,2.7.10.2
P41835,0.2343,0.2528,540,57.0,93.96785538612887,0.2959,0.1887,2.5.1.3
P42169,0.2883,0.3297,327,36.0,92.24751031121116,0.3089,0.237,2.7.11.1
P42679,0.22,0.3359,449,47.3,88.66922332859245,0.2452,0.218,2.7.10.2
P42867,0.3081,0.3856,400,46.8,95.29841051314122,0.3761,0.2376,2.7.8.15
P43123,0.2462,0.2635,477,50.9,95.0539792938682,0.3002,0.202,2.7.7.23
P43188,0.2279,0.2596,222,29.2,94.65781911848885,0.2867,0.1665,2.7.4.3
P43490,0.2668,0.2208,481,54.6,94.70943376623366,0.3055,0.207,2.4.2.12
P43567,0.2021,0.2122,385,41.2,97.02263211382056,0.2455,0.1945,2.6.1.44
P43635,0.2701,0.3143,458,55.9,95.34997197309448,0.3196,0.2037,2.3.3.1
P45563,0.173,0.2191,277,35.9,95.81760630673696,0.2333,0.1791,2.4.2.1
P46734,0.2609,0.2837,301,39.2,87.24835338033985,0.2891,0.2203,2.7.12.2
P49356,0.182,0.1965,414,45.7,96.54274570024626,0.1909,0.2109,2.5.1.58
P49889,0.2008,0.2552,295,29.4,96.84132771760888,0.2392,0.198,2.8.2.4
P50053,0.2041,0.2308,298,39.2,97.3083537653243,0.2453,0.1956,2.7.1.3
P50137,0.1942,0.1757,623,78.3,98.1045464112823,0.2353,0.1901,2.2.1.1
P50296,0.2292,0.2164,290,36.7,95.51150505902169,0.2651,0.2101,2.3.1.5
P50545,0.1686,0.2687,430,56.8,91.69152155047804,0.1766,0.1964,2.7.10.2
P52624,0.2526,0.2538,290,35.0,97.135004504505,0.298,0.2088,2.4.2.3
P52788,0.2537,0.2361,366,43.2,95.17952019330318,0.302,0.205,2.5.1.22
P52790,0.15,0.1376,898,4.3,91.84178883459298,0.1924,0.1738,2.7.1.1
P53610,0.2295,0.224,356,40.3,95.6868312611008,0.2537,0.2305,2.5.1.59
P53704,0.2459,0.303,713,72.3,89.89469036079682,0.2909,0.2162,2.6.1.16
P53727,0.2686,0.3948,317,32.9,93.11374698795171,0.3296,0.1962,2.7.1.35
P54676,0.2668,0.3254,816,90.1,85.31716511836984,0.3142,0.2224,2.7.1.137
P54751,0.3117,0.2387,337,27.6,89.31277073524082,0.3458,0.2478,2.4.99.4
P55240,0.2122,0.2608,125,15.5,94.96656250000004,0.2228,0.182,2.7.7.27
P57760,0.2106,0.2462,292,28.7,93.93831900257965,0.2579,0.1908,2.7.10.2
P59941,0.2041,0.2519,274,31.7,95.96271194379342,0.2288,0.2127,2.3.1.286
P61086,0.2235,0.2246,200,27.9,96.73439797211692,0.2772,0.1849,2.3.2.23
P61087,0.2225,0.2376,200,27.9,96.8250823827624,0.2748,0.1828,2.3.2.23
P62256,0.3293,0.2648,159,20.2,95.18215793588756,0.5149,0.1937,2.3.2.23
P62257,0.3293,0.2601,160,20.2,95.3810054559626,0.521,0.1936,2.3.2.23
P62916,0.2848,0.3095,301,37.5,88.23039156626514,0.3128,0.252,2.3.1.48
P69816,0.1651,0.184,106,13.6,94.84558524173026,0.2117,0.1649,2.7.1.202
P70266,0.2108,0.2108,471,54.8,92.44229911871456,0.2311,0.2084,2.7.1.105
P70277,0.2689,0.2324,317,37.7,94.44059929494776,0.307,0.2255,2.4.99.3
P70700,0.302,0.3608,1135,9.5,91.50999000222085,0.3917,0.227,2.7.7.6
P75726,0.2056,0.2522,510,50.3,95.4443698347106,0.2674,0.1894,2.8.3.10
P76458,0.1843,0.1907,220,26.4,96.62905946601964,0.2113,0.2146,2.8.3.8
P77791,0.1736,0.1569,183,25.2,97.75091359773349,0.1887,0.1805,2.3.1.79
P78067,0.2285,0.2093,404,49.6,98.03100628930856,0.2611,0.2112,2.8.1.1
P81799,0.1965,0.213,343,41.0,95.6496638655457,0.2552,0.1833,2.7.1.59
P87185,0.2665,0.2753,389,48.2,94.78436880370184,0.3119,0.2102,2.8.1.7
P91252,0.2214,0.2187,206,28.1,96.57390578413812,0.2765,0.1745,2.5.1.18
P92958,0.3429,0.3909,494,43.7,81.55038577154376,0.3207,0.2818,2.7.11.1
P97328,0.214,0.2257,298,37.6,96.99324488908223,0.2601,0.1907,2.7.1.3
P97355,0.2611,0.2336,366,42.6,94.59625172413796,0.3036,0.2092,2.5.1.22
P97402,0.2638,0.3345,401,36.0,90.97425914445112,0.3236,0.2163,2.4.1.150
P97443,0.2968,0.243,466,57.9,95.77074535808916,0.3297,0.2063,2.1.1.354
P97532,0.1805,0.1909,297,37.4,96.18163659793828,0.2092,0.1953,2.8.1.2
P97930,0.1969,0.1836,212,26.0,96.12845195729427,0.208,0.2017,2.7.4.9
P9WFF5,0.228,0.2643,262,27.6,92.12024590163922,0.2609,0.187,2.5.1.68
P9WFS1,0.1537,0.2367,427,51.1,95.13715475809047,0.2083,0.168,2.4.2.4
P9WFZ1,0.1844,0.3162,260,34.2,95.91014141414097,0.25,0.186,2.1.1.220
P9WG71,0.2093,0.3124,318,37.0,94.1976799653079,0.2722,0.2052,2.7.4.16
P9WGC9,0.1406,0.2126,217,28.2,96.04995583596197,0.1955,0.1663,2.7.7.87
P9WGX1,0.196,0.2501,262,30.8,89.53409371781741,0.2444,0.1996,2.1.1.193
P9WHF5,0.1667,0.3222,284,29.7,96.58747951807229,0.2097,0.1991,2.8.1.1
P9WHM5,0.1505,0.2154,215,26.1,95.50386320455952,0.2031,0.1779,2.1.2.2
